ts,app_cpu_pct,app_mem_mb,mysql_cpu_pct,mysql_mem_mb,redis_cpu_pct,redis_mem_mb,load1,host_mem_used_mb,db_threads_connected,db_threads_running,db_slow_queries,db_questions,redis_clients,redis_usedmem_mb
1787472430,88.28,118.7,8.44,106.1,2.27,10.19,1.73,5877,2,2,0,78463,6,1.4
1787472434,87.77,118.7,7.73,106.3,2.38,10.15,1.83,5903,1,2,0,79511,6,1.4
1787472438,87.78,118.5,8.35,106.7,2.29,9.742,1.84,5895,1,2,0,80560,6,1.4
1787472443,87.35,118.7,8.11,106.4,2.33,10.49,1.77,5896,1,2,0,81538,6,1.4
1787472447,87.82,118.9,8.73,106.4,2.42,9.996,1.79,5899,2,2,0,82584,5,1.4
1787472451,86.57,118.4,8.18,106.6,2.24,10.19,1.81,5898,1,2,0,83663,6,1.4
1787472456,88.05,118.5,11.86,106.4,2.47,10.24,1.74,5912,2,2,0,84676,6,1.4
1787472460,87.57,116.3,7.95,106.5,2.38,9.25,1.68,5899,1,2,0,85723,5,1.4
1787472464,88.75,117.1,7.19,106.6,2.31,9.988,1.68,5881,1,2,0,86725,6,1.4
1787472469,87.42,116.7,8.60,107.1,2.28,10.4,1.63,5894,1,2,0,87814,6,1.4
1787472473,86.76,116.6,7.91,106.9,2.36,9.957,1.66,5896,1,2,0,88856,6,1.4
1787472478,87.46,116.6,8.73,106.9,2.35,10.39,1.77,5897,2,3,0,89925,6,1.4
1787472482,87.09,117.3,8.68,106.4,2.27,9.973,1.79,5874,1,2,0,90991,6,1.4
1787472486,87.57,117,11.70,106.2,2.21,9.746,1.88,5859,1,2,0,91989,6,1.4
1787472491,88.51,116.9,7.59,106.8,2.38,10.24,1.89,5896,1,2,0,92963,5,1.4
1787472495,88.49,117.4,9.31,107,2.22,9.785,1.89,5874,2,2,0,94039,5,1.4
1787472499,85.73,116.8,9.28,106.8,2.32,9.953,2.06,5875,1,2,0,95111,6,1.4
1787472504,87.80,116.4,7.97,106.8,2.45,10.23,2.06,5893,1,2,0,96162,5,1.4
1787472508,87.12,116.7,9.32,106.8,2.36,10.14,2.05,5884,2,2,0,97256,6,1.4
1787472512,87.92,116.9,8.82,106.7,2.49,10.21,2.05,5880,1,2,0,98296,6,1.4
1787472517,86.81,117.3,12.47,107.3,2.30,10.19,2.04,5872,1,2,0,99365,5,1.4
