ts,app_cpu_pct,app_mem_mb,mysql_cpu_pct,mysql_mem_mb,redis_cpu_pct,redis_mem_mb,load1,host_mem_used_mb,db_threads_connected,db_threads_running,db_slow_queries,db_questions,redis_clients,redis_usedmem_mb
1787472369,85.65,120.5,8.07,105.6,2.43,10.41,1.98,5920,1,2,0,63960,6,1.4
1787472373,87.70,118.5,9.09,106.2,2.29,10.21,1.98,5916,1,2,0,65005,5,1.4
1787472377,87.83,118.9,6.51,106.2,2.38,10.2,1.98,5899,2,2,0,65983,6,1.4
1787472382,89.04,118.3,8.46,106,2.43,9.762,1.90,5906,1,2,0,67049,5,1.4
1787472386,87.71,118.6,12.57,106.1,2.16,10.2,1.83,5906,2,3,0,68063,5,1.4
1787472391,87.65,118.5,8.57,106.3,2.18,10.4,1.76,5901,1,2,0,69061,6,1.4
1787472395,89.85,118.3,7.44,106.3,2.43,9.945,1.76,5897,1,2,0,70081,5,1.4
1787472399,87.74,118.4,7.77,106,2.49,9.48,1.86,5906,2,2,0,71144,6,1.4
1787472404,88.19,118.6,8.44,106.8,2.46,9.973,1.79,5898,2,2,0,72146,6,1.4
1787472408,88.79,118.7,8.19,105.9,2.46,9.504,1.73,5884,2,2,0,73184,6,1.4
1787472412,87.91,118.6,8.95,106.6,2.26,10.02,1.83,5904,1,2,0,74280,6,1.4
1787472417,87.89,118.8,8.46,106.3,2.21,9.918,1.76,5902,1,2,0,75386,6,1.4
1787472421,86.91,118.4,8.43,106.7,2.17,9.777,1.70,5858,1,2,0,76475,6,1.4
1787472425,89.60,118.9,7.32,106.3,2.65,9.715,1.73,5888,1,2,0,77478,5,1.4
