ts,app_cpu_pct,app_mem_mb,mysql_cpu_pct,mysql_mem_mb,redis_cpu_pct,redis_mem_mb,load1,host_mem_used_mb,db_threads_connected,db_threads_running,db_slow_queries,db_questions,redis_clients,redis_usedmem_mb
1787472972,89.10,118.1,7.84,107.3,2.18,9.551,2.17,5904,1,2,0,184635,6,1.4
1787472976,88.36,117.7,8.11,107.2,1.83,10.29,2.08,5924,2,2,0,185702,6,1.4
1787472981,89.16,118,7.80,107.5,1.95,10.2,2.07,5916,2,2,0,186783,6,1.4
1787472985,87.75,118.2,8.41,107.5,1.94,10.24,2.07,5922,2,2,0,187820,6,1.4
1787472989,90.00,117.7,10.58,107.2,1.91,9.988,2.06,5923,1,2,0,188816,6,1.4
1787472994,87.01,118,7.26,107.6,2.15,9.324,2.06,5908,1,2,0,189843,6,1.4
1787472998,88.10,118.4,8.47,107.4,2.11,10.46,2.05,5925,1,2,0,190934,6,1.4
1787473002,88.42,118,7.46,107.5,1.99,10.2,1.97,5919,1,2,0,191978,6,1.4
1787473007,89.87,118,7.79,107.7,2.34,10.32,1.97,5930,2,3,0,193029,5,1.4
1787473011,89.08,118.5,8.27,108,1.93,10.01,1.97,5929,2,2,0,194075,6,1.4
1787473015,89.05,118,7.75,107.6,2.05,10.66,1.90,5919,1,2,0,195084,6,1.4
1787473020,89.62,118.1,8.30,107.6,2.16,9.793,1.90,5912,2,2,0,196093,6,1.4
1787473024,88.54,118.5,8.50,107.5,1.99,9.723,1.98,5912,1,2,0,197117,5,1.4
1787473029,88.09,118.1,7.37,107.8,2.17,9.934,2.07,5926,1,2,0,198123,6,1.4
1787473033,88.56,118.1,7.88,107.8,2.27,9.77,2.14,5920,1,2,0,199163,5,1.4
1787473037,87.97,117.5,9.54,108,2.01,10.19,2.05,5912,2,2,0,200198,5,1.4
