ts,app_cpu_pct,app_mem_mb,mysql_cpu_pct,mysql_mem_mb,redis_cpu_pct,redis_mem_mb,load1,host_mem_used_mb,db_threads_connected,db_threads_running,db_slow_queries,db_questions,redis_clients,redis_usedmem_mb
1787472308,87.45,118,8.77,104.9,2.23,10.23,1.30,5882,1,2,0,49852,6,1.4
1787472312,88.85,118.3,8.04,106.1,2.35,9.801,1.28,5877,2,2,0,50867,5,1.4
1787472317,88.02,118.4,7.77,105.9,2.55,10.2,1.26,5857,2,3,0,51887,6,1.4
1787472321,88.51,118.2,8.73,106.2,2.49,10.4,1.40,5871,1,2,0,52876,5,1.4
1787472325,89.63,118.4,11.11,105.6,2.18,10.64,1.36,5899,1,2,0,53890,6,1.4
1787472330,88.14,118.6,7.98,105.7,2.52,10.44,1.36,5883,1,2,0,54849,5,1.4
1787472334,89.22,118.5,8.45,105.7,2.48,10.48,1.58,5890,2,2,0,55894,5,1.4
1787472339,86.99,117.9,8.07,106,2.36,10.22,1.77,5886,1,2,0,56857,5,1.4
1787472343,88.14,120.9,7.75,106.4,2.27,9.992,1.79,5896,2,2,0,57874,6,1.4
1787472347,89.04,120.8,9.63,106,2.33,9.734,1.73,5896,1,2,0,58926,6,1.4
1787472352,86.33,120.4,8.10,106.3,2.14,10.5,1.67,5891,1,2,0,60017,5,1.4
1787472356,87.14,120.3,10.92,106.2,2.43,10.22,1.69,5907,2,2,0,61046,6,1.4
1787472360,88.40,120.5,8.06,106.1,2.31,10.32,1.80,5900,1,2,0,62060,6,1.4
1787472365,88.85,120.1,7.81,105.8,2.40,9.996,1.80,5907,2,3,0,63100,6,1.4
